,대여소_ID,주소1,주소2,위도,경도,동코드
905,ST-2984,서울특별시 송파구 송파구 문정동 373,,37.483524,127.116837,11710642
906,ST-2983,서울특별시 마포구 서울시 마포구 아현동 645-14,,37.552353,126.951477,11440555
907,ST-2982,서울특별시 마포구 서울 마포구 성산동 601-8,,37.56897,126.907799,11440730
908,ST-2981,서울특별시 마포구 서울시 마포구 성암로 179,,37.576492,126.898674,11440740
909,ST-2980,서울특별시 마포구 만리재로 95 에스테반오피스텔,,37.54892,126.959518,11440565
910,ST-298,서울특별시 영등포구 신길동 249,우주마루아파트 201동 앞,37.507641,126.92308,11560690
911,ST-2979,서울특별시 마포구 마포구 연남로 42 코오롱아파트사거리,,37.563038,126.921433,11440710
912,ST-2978,서울특별시 마포구 서울시 마포구 염리동 30-29,,37.551529,126.946693,11440610
913,ST-2977,서울특별시 마포구 서울 마포구 월드컵로42길 13,,37.578922,126.882164,11440740
914,ST-2976,서울특별시 마포구 공덕동 4-11,,37.550159,126.960526,11440565
915,ST-2975,서울특별시 마포구 마포구 창전동15-1,,37.549854,126.932037,11440655
916,ST-2974,서울특별시 마포구 MBC본사와 디지털매직스페이스 건물 사이 횡단보도 2개 중간,,37.5812,126.88958,11440740
917,ST-2973,서울특별시 송파구 송파구 문정동 502,,37.486324,127.115089,11710642
918,ST-2972,서울특별시 송파구 송파구 문정동 500-1,,37.486393,127.114838,11710642
919,ST-2971,서울특별시 노원구 노원구 우이천로 102,,37.630005,127.044098,11350570
920,ST-2970,서울특별시 성북구 성북구 길음동 1261-535,,37.61208,127.02198,11290660
921,ST-297,서울특별시 영등포구 여의동로 300-2 가로판매대50,,37.524349,126.936119,11560540
922,ST-2969,서울특별시 중랑구 중랑구 용마산로 393,,37.586864,127.095322,11260575
923,ST-2968,서울특별시 도봉구 도봉구 해등로 4길 (도봉구 노해로 66길),,37.649509,127.047226,11320511
924,ST-2967,서울특별시 도봉구 도봉시 노해로 70길 19 1905동 앞 ( 도봉경찰서 건너편) 버스정류장 쯤에 희망합니다 (분명 설치예정팻말이 붙어있었는데 아직도 시행안됨),,37.652508,127.052277,11320514
925,ST-2966,서울특별시 강동구 상일동 산2-1,,37.554089,127.179626,11740526
926,ST-2965,서울특별시 강서구 마곡동 748-4,,37.556763,126.818695,11500620
927,ST-2964,서울특별시 금천구 서부샛길 606 대성디폴리스지식산업센터,,37.480175,126.876801,11545510
928,ST-2963,서울특별시 강남구 남부순환로 3104 SETEC,,37.495602,127.071945,11680610
929,ST-2962,서울특별시 서초구 남부순환로 2585 양재역,,37.485737,127.033157,11650520
930,ST-2961,서울특별시 양천구 신정동 330-5,,37.511742,126.873833,11470670
931,ST-2960,서울특별시 양천구 목동동로 50 목동신시가지아파트12단지,,37.514122,126.860405,11470680
932,ST-296,서울특별시 영등포구 여의도동8-13,초원아파트 앞,37.531055,126.92421,11560540
933,ST-2959,서울특별시 영등포구 대림로 154 기영빌딩,,37.494846,126.900291,11560700
934,ST-2958,서울특별시 영등포구 양평동2가 42-1,,37.523643,126.881836,11560610
935,ST-2957,서울특별시 송파구 중대로 24 올림픽훼밀리타운,,37.48996,127.111961,11710642
936,ST-2956,서울특별시 은평구 응암동 159-3,,37.599545,126.926537,11380580
937,ST-2955,서울특별시 노원구 노원로 62 공릉해링턴플레이스,,37.62812,127.085487,11350600
938,ST-2954,서울특별시 노원구 한글비석로54길 92 상계주공13단지아파트,,37.66674,127.063889,11350710
939,ST-2953,서울특별시 중랑구 신내동 574-1,,37.604462,127.097412,11260680
940,ST-2952,서울특별시 중랑구 신내동 574-1,,37.604286,127.097366,11260680
941,ST-2951,서울특별시 양천구 가로공원로 168 화곡제7동치안센터,,37.53661,126.834663,11470560
942,ST-2950,서울특별시 양천구 가로공원로 162,,37.53651,126.833946,11470560
943,ST-295,서울특별시 영등포구 당산동5가 14-4,당산역 10번출구 앞,37.533688,126.902107,11560560
944,ST-2949,서울특별시 구로구 구로구 구로동 50-7,,37.493828,126.839073,11530770
945,ST-2948,서울특별시 관악구 남부순환로 2054,,37.476398,126.976837,11620630
946,ST-2947,서울특별시 강서구 방화동 886-15,,37.561546,126.807083,11500620
947,ST-2946,서울특별시 강서구 염창동 284-46,,37.550858,126.872337,11500510
948,ST-2945,서울특별시 강서구 마곡동 800-23,,37.557915,126.832977,11500611
949,ST-2944,서울특별시 강서구 양천로55길 55 강서한강자이,,37.567245,126.850388,11500603
950,ST-2943,서울특별시 강서구 가양동,,37.569027,126.839882,11500603
951,ST-2942,서울특별시 중랑구 중랑구 신내역로 111,,37.612724,127.11306,11260680
952,ST-2941,서울특별시 송파구 거여동 217-14,,37.494591,127.151093,11710532
953,ST-2940,서울특별시 송파구 양재대로 1218 올림픽선수기자촌아파트,,37.518692,127.139061,11710566
954,ST-294,서울특별시 영등포구 당산동4가 35-24,삼성생명 당산사옥 앞,37.528263,126.896629,11560560
955,ST-2939,서울특별시 송파구 송파구 거여동 657-12,,37.487148,127.153282,11710647
956,ST-2938,서울특별시 송파구 송파구 거여동 산60-1,,37.488686,127.152267,11710647
957,ST-2937,서울특별시 송파구 거여동 산23-34,,37.495358,127.139473,11710531
958,ST-2936,서울특별시 송파구 송파구 마천동 325-29,,37.492222,127.156593,11710540
959,ST-2935,서울특별시 성북구 고려대로 104-1,,37.58625,127.030952,11290600
960,ST-2934,서울특별시 서초구 신반포로 56-7 세화고.세화여고.세화여중,,37.502094,126.99147,11650550
961,ST-2933,서울특별시 동대문구 휘경동 267-10,,37.589451,127.059563,11230720
962,ST-2932,서울특별시 금천구 시흥대로73길 70 금천구청종합청사,,37.457035,126.894325,11545670
963,ST-2931,서울특별시 금천구 금천구 한내로 69-44,,37.459366,126.88678,11545610
964,ST-2930,서울특별시 강북구 휘경동 267-4,,37.634937,127.017525,11305660
